"HPO","Ancestors","definition"
"HP:0000022","HP:0000022;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Abnormality of male internal genitalia"
"HP:0000023","HP:0000023;HP:0004299;HP:0010866;HP:0004298;HP:0025031;HP:0000118;HP:0000001;HP:0100790;HP:0003549","Inguinal hernia"
"HP:0000024","HP:0000024;HP:0008775;HP:0000022;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0012649;HP:0012647;HP:0010978;HP:0002715","Prostatitis"
"HP:0000025","HP:0000025;HP:0012874;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Functional abnormality of male internal genitalia"
"HP:0000026","HP:0000026;HP:0000025;HP:0012874;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0000135;HP:0008373;HP:0000818","Male hypogonadism"
"HP:0000027","HP:0000027;HP:0008669;HP:0000025;HP:0012874;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Azoospermia"
"HP:0000028","HP:0000028;HP:0000035;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Cryptorchidism"
"HP:0000029","HP:0000029;HP:0000035;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Testicular atrophy"
"HP:0000030","HP:0000030;HP:0000150;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0100728;HP:0010785;HP:0010787;HP:0007379;HP:0011793;HP:0002664;HP:0010788;HP:0000035;HP:0000032;HP:0000811;HP:0010461;HP:0100848","Testicular gonadoblastoma"
"HP:0000031","HP:0000031;HP:0009714;HP:0000022;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0012649;HP:0012647;HP:0010978;HP:0002715","Epididymitis"
"HP:0000032","HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Abnormality of male external genitalia"
"HP:0000033","HP:0000033;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0000062","Ambiguous genitalia, male"
"HP:0000034","HP:0000034;HP:0000035;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Hydrocele testis"
"HP:0000035","HP:0000035;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Abnormality of the testis"
"HP:0000036","HP:0000036;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Abnormality of the penis"
"HP:0000037","HP:0000037;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Male pseudohermaphroditism"
"HP:0000039","HP:0000039;HP:0100627;HP:0000036;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0000795;HP:0010936;HP:0000079","Epispadias"
"HP:0000040","HP:0000040;HP:0000036;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Long penis"
"HP:0000041","HP:0000041;HP:0000036;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Chordee"
"HP:0000042","HP:0000042;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Absent external genitalia"
"HP:0000044","HP:0000044;HP:0000135;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0008373;HP:0000818","Hypogonadotrophic hypogonadism"
"HP:0000045","HP:0000045;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Abnormality of the scrotum"
"HP:0000046","HP:0000046;HP:0000045;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0000050;HP:0003241","Scrotal hypoplasia"
"HP:0000047","HP:0000047;HP:0100627;HP:0000036;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0000795;HP:0010936;HP:0000079","Hypospadias"
"HP:0000048","HP:0000048;HP:0000045;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Bifid scrotum"
"HP:0000049","HP:0000049;HP:0000045;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Shawl scrotum"
"HP:0000050","HP:0000050;HP:0003241;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Hypoplastic male external genitalia"
"HP:0000051","HP:0000051;HP:0000047;HP:0100627;HP:0000036;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0000795;HP:0010936;HP:0000079","Perineal hypospadias"
"HP:0000052","HP:0000052;HP:0000068;HP:0000795;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0010936;HP:0000079","Urethral atresia, male"
"HP:0000053","HP:0000053;HP:0045058;HP:0000035;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461","Macroorchidism"
"HP:0000054","HP:0000054;HP:0008736;HP:0000036;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0000050;HP:0003241","Micropenis"
"HP:0000055","HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of female external genitalia"
"HP:0000056","HP:0000056;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of the clitoris"
"HP:0000057","HP:0000057;na","obsolete Clitoromegaly"
"HP:0000058","HP:0000058;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of the labia"
"HP:0000059","HP:0000059;HP:0000066;HP:0000058;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0012815;HP:0003241;HP:0012881","Hypoplastic labia majora"
"HP:0000060","HP:0000060;HP:0012815;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0003241;HP:0040255;HP:0000056","Clitoral hypoplasia"
"HP:0000061","HP:0000061;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0000062","Ambiguous genitalia, female"
"HP:0000062","HP:0000062;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Ambiguous genitalia"
"HP:0000063","HP:0000063;HP:0012880;HP:0000058;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Fused labia minora"
"HP:0000064","HP:0000064;HP:0000066;HP:0000058;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0012815;HP:0003241;HP:0012880","Hypoplastic labia minora"
"HP:0000065","HP:0000065;HP:0000058;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Labial hypertrophy"
"HP:0000066","HP:0000066;HP:0000058;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0012815;HP:0003241","Labial hypoplasia"
"HP:0000067","HP:0000067;HP:0000055;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0000068;HP:0000795;HP:0000032;HP:0010461;HP:0010936;HP:0000079","Urethral atresia, female"
"HP:0000068","HP:0000068;HP:0000795;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0010936;HP:0000079","Urethral atresia"
"HP:0000069","HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Abnormality of the ureter"
"HP:0000070","HP:0000070;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Ureterocele"
"HP:0000071","HP:0000071;HP:0006000;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Ureteral stenosis"
"HP:0000072","HP:0000072;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Hydroureter"
"HP:0000073","HP:0000073;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Ureteral duplication"
"HP:0000074","HP:0000074;HP:0000071;HP:0006000;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Ureteropelvic junction obstruction"
"HP:0000075","HP:0000075;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Renal duplication"
"HP:0000076","HP:0000076;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0000069;HP:0010935","Vesicoureteral reflux"
"HP:0000077","HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Abnormality of the kidney"
"HP:0000078","HP:0000078;HP:0000119;HP:0000118;HP:0000001","Abnormality of the genital system"
"HP:0000079","HP:0000079;HP:0000119;HP:0000118;HP:0000001","Abnormality of the urinary system"
"HP:0000080","HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Abnormality of reproductive system physiology"
"HP:0000081","HP:0000081;HP:0004742;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Duplicated collecting system"
"HP:0000083","HP:0000083;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011277","Renal insufficiency"
"HP:0000085","HP:0000085;HP:0100542;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Horseshoe kidney"
"HP:0000086","HP:0000086;HP:0100542;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Ectopic kidney"
"HP:0000089","HP:0000089;HP:0008678;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Renal hypoplasia"
"HP:0000090","HP:0000090;HP:0100957;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Nephronophthisis"
"HP:0000091","HP:0000091;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Abnormality of the renal tubule"
"HP:0000092","HP:0000092;HP:0000091;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Tubular atrophy"
"HP:0000093","HP:0000093;HP:0003110;HP:0001939;HP:0000118;HP:0000001;HP:0011277;HP:0000079;HP:0000119","Proteinuria"
"HP:0000095","HP:0000095;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0031263;HP:0011035","Abnormality of renal glomerulus morphology"
"HP:0000096","HP:0000096;HP:0000095;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0031263;HP:0011035","Glomerulosclerosis"
"HP:0000097","HP:0000097;HP:0000096;HP:0000095;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0031263;HP:0011035","Focal segmental glomerulosclerosis"
"HP:0000098","HP:0000098;HP:0000002;HP:0001507;HP:0000118;HP:0000001","Tall stature"
"HP:0000099","HP:0000099;HP:0000095;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0031263;HP:0011035;HP:0000123;HP:0012211;HP:0011277;HP:0012649;HP:0012647;HP:0010978;HP:0002715","Glomerulonephritis"
"HP:0000100","HP:0000100;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011277","Nephrotic syndrome"
"HP:0000103","HP:0000103;HP:0012590;HP:0011036;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011277","Polyuria"
"HP:0000104","HP:0000104;HP:0008678;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Renal agenesis"
"HP:0000105","HP:0000105;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Enlarged kidney"
"HP:0000107","HP:0000107;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Renal cyst"
"HP:0000108","HP:0000108;HP:0000107;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011035;HP:0100957","Renal corticomedullary cysts"
"HP:0000110","HP:0000110;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Renal dysplasia"
"HP:0000111","HP:0000111;HP:0000095;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0031263;HP:0011035","Renal juxtaglomerular cell hypertrophy/hyperplasia"
"HP:0000112","HP:0000112;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011277","Nephropathy"
"HP:0000113","HP:0000113;HP:0000107;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Polycystic kidney dysplasia"
"HP:0000114","HP:0000114;HP:0000091;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Proximal tubulopathy"
"HP:0000117","HP:0000117;HP:0012599;HP:0012591;HP:0003110;HP:0001939;HP:0000118;HP:0000001;HP:0011277;HP:0000079;HP:0000119","Renal phosphate wasting"
"HP:0000118","HP:0000118;HP:0000001","Phenotypic abnormality"
"HP:0000119","HP:0000119;HP:0000118;HP:0000001","Abnormality of the genitourinary system"
"HP:0000121","HP:0000121;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Nephrocalcinosis"
"HP:0000122","HP:0000122;HP:0000104;HP:0008678;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Unilateral renal agenesis"
"HP:0000123","HP:0000123;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011277;HP:0012649;HP:0012647;HP:0010978;HP:0002715","Nephritis"
"HP:0000124","HP:0000124;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011277","Renal tubular dysfunction"
"HP:0000125","HP:0000125;HP:0000086;HP:0100542;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Pelvic kidney"
"HP:0000126","HP:0000126;HP:0010946;HP:0010944;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Hydronephrosis"
"HP:0000127","HP:0000127;HP:0012591;HP:0003110;HP:0001939;HP:0000118;HP:0000001;HP:0011277;HP:0000079;HP:0000119","Renal salt wasting"
"HP:0000128","HP:0000128;HP:0012598;HP:0012591;HP:0003110;HP:0001939;HP:0000118;HP:0000001;HP:0011277;HP:0000079;HP:0000119","Renal potassium wasting"
"HP:0000130","HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of the uterus"
"HP:0000131","HP:0000131;HP:0010784;HP:0010787;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0007379;HP:0011793;HP:0002664;HP:0031105;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0010460","Uterine leiomyoma"
"HP:0000132","HP:0000132;HP:0000140;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0000858;HP:0008373;HP:0000818;HP:0001892;HP:0001871","Menorrhagia"
"HP:0000133","HP:0000133;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Gonadal dysgenesis"
"HP:0000134","HP:0000134;HP:0000135;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0008373;HP:0000818;HP:0031066;HP:0000137;HP:0000008;HP:0000812;HP:0012243;HP:0010460","Female hypogonadism"
"HP:0000135","HP:0000135;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0008373;HP:0000818","Hypogonadism"
"HP:0000136","HP:0000136;HP:0031105;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Bifid uterus"
"HP:0000137","HP:0000137;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of the ovary"
"HP:0000138","HP:0000138;HP:0031065;HP:0000137;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Ovarian cyst"
"HP:0000139","HP:0000139;HP:0031105;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0100823;HP:0100790;HP:0003549","Uterine prolapse"
"HP:0000140","HP:0000140;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0000858;HP:0008373;HP:0000818","Abnormality of the menstrual cycle"
"HP:0000141","HP:0000141;HP:0000140;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0000858;HP:0008373;HP:0000818","Amenorrhea"
"HP:0000142","HP:0000142;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of the vagina"
"HP:0000143","HP:0000143;HP:0004320;HP:0000142;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0100589;HP:0100590;HP:0002034;HP:0002250;HP:0002242;HP:0012718;HP:0011024;HP:0025031;HP:0025033;HP:0012732;HP:0100819","Rectovaginal fistula"
"HP:0000144","HP:0000144;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Decreased fertility"
"HP:0000145","HP:0000145;HP:0001153;HP:0000142;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Transverse vaginal septum"
"HP:0000147","HP:0000147;HP:0000138;HP:0031065;HP:0000137;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Polycystic ovaries"
"HP:0000148","HP:0000148;HP:0000142;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460;HP:0001827","Vaginal atresia"
"HP:0000149","HP:0000149;HP:0000150;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0100728;HP:0010785;HP:0010787;HP:0007379;HP:0011793;HP:0002664;HP:0100615;HP:0000137;HP:0000008;HP:0010460","Ovarian gonadoblastoma"
"HP:0000150","HP:0000150;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0100728;HP:0010785;HP:0010787;HP:0007379;HP:0011793;HP:0002664","Gonadoblastoma"
"HP:0000151","HP:0000151;HP:0008684;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Aplasia of the uterus"
"HP:0000152","HP:0000152;HP:0000118;HP:0000001","Abnormality of head or neck"
"HP:0000153","HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the mouth"
"HP:0000154","HP:0000154;HP:0011337;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Wide mouth"
"HP:0000155","HP:0000155;HP:0011830;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Oral ulcer"
"HP:0000157","HP:0000157;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the tongue"
"HP:0000158","HP:0000158;HP:0003712;HP:0030236;HP:0011805;HP:0003011;HP:0000118;HP:0000001;HP:0040290;HP:0030809;HP:0000157;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152","Macroglossia"
"HP:0000159","HP:0000159;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the lip"
"HP:0000160","HP:0000160;HP:0011337;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Narrow mouth"
"HP:0000161","HP:0000161;HP:0000204;HP:0000177;HP:0000159;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0410030;HP:0000202","Median cleft lip"
"HP:0000162","HP:0000162;HP:0030809;HP:0000157;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Glossoptosis"
"HP:0000163","HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the oral cavity"
"HP:0000164","HP:0000164;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the dentition"
"HP:0000166","HP:0000166;HP:0000704;HP:0000164;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0000168;HP:0011830;HP:0012649;HP:0012647;HP:0010978;HP:0002715","Severe periodontitis"
"HP:0000168","HP:0000168;HP:0011830;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the gingiva"
"HP:0000169","HP:0000169;HP:0000168;HP:0011830;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0010614;HP:0012316;HP:0011792;HP:0002664;HP:0030448;HP:0100242","Gingival fibromatosis"
"HP:0000171","HP:0000171;HP:0010295;HP:0030809;HP:0000157;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Microglossia"
"HP:0000172","HP:0000172;HP:0100736;HP:0000174;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the uvula"
"HP:0000174","HP:0000174;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the palate"
"HP:0000175","HP:0000175;HP:0000202;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0100737;HP:0000174;HP:0000163","Cleft palate"
"HP:0000176","HP:0000176;HP:0410031;HP:0000175;HP:0000202;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0100737;HP:0000174;HP:0000163","Submucous cleft hard palate"
"HP:0000177","HP:0000177;HP:0000159;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of upper lip"
"HP:0000178","HP:0000178;HP:0000159;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of lower lip"
"HP:0000179","HP:0000179;HP:0000178;HP:0000159;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0012471","Thick lower lip vermilion"
"HP:0000180","HP:0000180;HP:0030809;HP:0000157;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Lobulated tongue"
"HP:0000182","HP:0000182;HP:0030810;HP:0000157;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Movement abnormality of the tongue"
"HP:0000183","HP:0000183;HP:0000182;HP:0030810;HP:0000157;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Difficulty in tongue movements"
"HP:0000185","HP:0000185;HP:0100736;HP:0000174;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0410004;HP:0000175;HP:0000202;HP:0100737","Cleft soft palate"
