"term","is.a","def"
"HP:0000055","HP:0010460","Abnormality of female external genitalia"
"HP:0000056","HP:0000055","Abnormality of the clitoris"
"HP:0000058","HP:0000055","Abnormality of the labia"
"HP:0000059","HP:0000066","Hypoplastic labia majora"
"HP:0000059","HP:0012881","Hypoplastic labia majora"
"HP:0000060","HP:0012815","Clitoral hypoplasia"
"HP:0000060","HP:0040255","Clitoral hypoplasia"
"HP:0000061","HP:0000055","Ambiguous genitalia, female"
"HP:0000061","HP:0000062","Ambiguous genitalia, female"
"HP:0000062","HP:0000811","Ambiguous genitalia"
"HP:0000063","HP:0012880","Fused labia minora"
"HP:0000064","HP:0000066","Hypoplastic labia minora"
"HP:0000064","HP:0012880","Hypoplastic labia minora"
"HP:0000065","HP:0000058","Labial hypertrophy"
"HP:0000066","HP:0000058","Labial hypoplasia"
"HP:0000066","HP:0012815","Labial hypoplasia"
"HP:0000067","HP:0000055","Urethral atresia, female"
"HP:0000067","HP:0000068","Urethral atresia, female"
"HP:0000068","HP:0000795","Urethral atresia"
"HP:0000069","HP:0010935","Abnormality of the ureter"
"HP:0000070","HP:0025633","Ureterocele"
"HP:0000071","HP:0006000","Ureteral stenosis"
"HP:0000072","HP:0025633","Hydroureter"
"HP:0000073","HP:0025633","Ureteral duplication"
"HP:0000074","HP:0000071","Ureteropelvic junction obstruction"
"HP:0000075","HP:0012210","Renal duplication"
"HP:0000076","HP:0000009","Vesicoureteral reflux"
"HP:0000076","HP:0025634","Vesicoureteral reflux"
"HP:0000077","HP:0010935","Abnormality of the kidney"
"HP:0000078","HP:0000119","Abnormality of the genital system"
"HP:0000079","HP:0000119","Abnormality of the urinary system"
"HP:0000080","HP:0000078","Abnormality of reproductive system physiology"
"HP:0000081","HP:0004742","Duplicated collecting system"
"HP:0000083","HP:0012211","Renal insufficiency"
"HP:0000085","HP:0100542","Horseshoe kidney"
"HP:0000086","HP:0100542","Ectopic kidney"
"HP:0000089","HP:0008678","Renal hypoplasia"
"HP:0000090","HP:0100957","Nephronophthisis"
"HP:0000091","HP:0012575","Abnormal renal tubule morphology"
"HP:0000092","HP:0000091","Tubular atrophy"
"HP:0000093","HP:0020129","Proteinuria"
"HP:0000095","HP:0012575","Abnormality of renal glomerulus morphology"
"HP:0000095","HP:0031263","Abnormality of renal glomerulus morphology"
"HP:0000096","HP:0000095","Glomerulosclerosis"
"HP:0000097","HP:0000096","Focal segmental glomerulosclerosis"
"HP:0000098","HP:0000002","Tall stature"
"HP:0000099","HP:0000095","Glomerulonephritis"
"HP:0000099","HP:0000123","Glomerulonephritis"
"HP:0000100","HP:0012211","Nephrotic syndrome"
"HP:0000103","HP:0012590","Polyuria"
"HP:0000104","HP:0008678","Renal agenesis"
"HP:0000105","HP:0012210","Enlarged kidney"
"HP:0000107","HP:0012210","Renal cyst"
"HP:0000108","HP:0000107","Renal corticomedullary cysts"
"HP:0000108","HP:0011035","Renal corticomedullary cysts"
"HP:0000108","HP:0100957","Renal corticomedullary cysts"
"HP:0000110","HP:0012210","Renal dysplasia"
"HP:0000111","HP:0000095","Renal juxtaglomerular cell hypertrophy/hyperplasia"
"HP:0000112","HP:0012211","Nephropathy"
"HP:0000113","HP:0000107","Polycystic kidney dysplasia"
"HP:0000114","HP:0000124","Proximal tubulopathy"
"HP:0000117","HP:0012599","Renal phosphate wasting"
"HP:0000118","HP:0000001","Phenotypic abnormality"
"HP:0000119","HP:0000118","Abnormality of the genitourinary system"
"HP:0000121","HP:0012210","Nephrocalcinosis"
"HP:0000122","HP:0000104","Unilateral renal agenesis"
"HP:0000123","HP:0012211","Nephritis"
"HP:0000123","HP:0012649","Nephritis"
"HP:0000124","HP:0012211","Renal tubular dysfunction"
"HP:0000125","HP:0000086","Pelvic kidney"
"HP:0000126","HP:0010946","Hydronephrosis"
"HP:0000127","HP:0012591","Renal salt wasting"
"HP:0000128","HP:0012598","Renal potassium wasting"
"HP:0000130","HP:0000008","Abnormality of the uterus"
"HP:0000131","HP:0010784","Uterine leiomyoma"
"HP:0000132","HP:0000140","Menorrhagia"
"HP:0000132","HP:0001892","Menorrhagia"
"HP:0000133","HP:0000812","Gonadal dysgenesis"
"HP:0000134","HP:0000135","Female hypogonadism"
"HP:0000134","HP:0031066","Female hypogonadism"
"HP:0000135","HP:0000080","Hypogonadism"
"HP:0000135","HP:0008373","Hypogonadism"
"HP:0000136","HP:0031105","Bifid uterus"
"HP:0000137","HP:0000008","Abnormality of the ovary"
"HP:0000138","HP:0031065","Ovarian cyst"
"HP:0000139","HP:0031105","Uterine prolapse"
"HP:0000139","HP:0100823","Uterine prolapse"
"HP:0000140","HP:0000008","Abnormality of the menstrual cycle"
"HP:0000140","HP:0000858","Abnormality of the menstrual cycle"
"HP:0000141","HP:0000140","Amenorrhea"
"HP:0000142","HP:0000008","Abnormal vagina morphology"
"HP:0000143","HP:0004320","Rectovaginal fistula"
"HP:0000143","HP:0100590","Rectovaginal fistula"
"HP:0000144","HP:0000080","Decreased fertility"
"HP:0000145","HP:0001153","Transverse vaginal septum"
"HP:0000147","HP:0000138","Polycystic ovaries"
"HP:0000148","HP:0000142","Vaginal atresia"
"HP:0000148","HP:0001827","Vaginal atresia"
"HP:0000149","HP:0000150","Ovarian gonadoblastoma"
"HP:0000149","HP:0100615","Ovarian gonadoblastoma"
"HP:0000150","HP:0000812","Gonadoblastoma"
"HP:0000150","HP:0100728","Gonadoblastoma"
"HP:0000151","HP:0008684","Aplasia of the uterus"
"HP:0000152","HP:0000118","Abnormality of head or neck"
"HP:0000153","HP:0000271","Abnormality of the mouth"
"HP:0000154","HP:0011337","Wide mouth"
"HP:0000155","HP:0011830","Oral ulcer"
"HP:0000157","HP:0000163","Abnormality of the tongue"
"HP:0000158","HP:0003712","Macroglossia"
"HP:0000158","HP:0030809","Macroglossia"
"HP:0000159","HP:0000163","Abnormal lip morphology"
"HP:0000160","HP:0011337","Narrow mouth"
"HP:0000161","HP:0000204","Median cleft lip"
"HP:0000162","HP:0030809","Glossoptosis"
"HP:0000163","HP:0031816","Abnormal oral cavity morphology"
"HP:0000164","HP:0000163","Abnormality of the dentition"
"HP:0000166","HP:0000704","Severe periodontitis"
"HP:0000168","HP:0011830","Abnormality of the gingiva"
"HP:0000169","HP:0000168","Gingival fibromatosis"
"HP:0000169","HP:0010614","Gingival fibromatosis"
"HP:0000171","HP:0010295","Microglossia"
"HP:0000172","HP:0100736","Abnormality of the uvula"
"HP:0000174","HP:0000163","Abnormal palate morphology"
"HP:0000175","HP:0000202","Cleft palate"
"HP:0000175","HP:0100737","Cleft palate"
"HP:0000176","HP:0410031","Submucous cleft hard palate"
"HP:0000177","HP:0000159","Abnormality of upper lip"
"HP:0000178","HP:0000159","Abnormality of lower lip"
"HP:0000179","HP:0000178","Thick lower lip vermilion"
"HP:0000179","HP:0012471","Thick lower lip vermilion"
"HP:0000180","HP:0030809","Lobulated tongue"
"HP:0000182","HP:0030810","Movement abnormality of the tongue"
"HP:0000183","HP:0000182","Difficulty in tongue movements"
"HP:0000185","HP:0000175","Cleft soft palate"
"HP:0000185","HP:0100736","Cleft soft palate"
"HP:0000187","HP:0006477","Broad alveolar ridges"
"HP:0000188","HP:0000177","Short upper lip"
"HP:0000189","HP:0000174","Narrow palate"
"HP:0000190","HP:0000163","Abnormal oral frenulum morphology"
"HP:0000191","HP:0000190","Accessory oral frenulum"
"HP:0000193","HP:0000172","Bifid uvula"
"HP:0000194","HP:0011338","Open mouth"
"HP:0000196","HP:0000178","Lower lip pit"
"HP:0000196","HP:0100269","Lower lip pit"
"HP:0000197","HP:0010286","Abnormal parotid gland morphology"
"HP:0000198","HP:0000197","Absence of Stensen duct"
"HP:0000199","HP:0030809","Tongue nodules"
"HP:0000200","HP:0000190","Short lingual frenulum"
"HP:0000201","HP:0031816","Pierre-Robin sequence"
"HP:0000202","HP:0000163","Oral cleft"
"HP:0000204","HP:0000177","Cleft upper lip"
"HP:0000204","HP:0410030","Cleft upper lip"
"HP:0000205","HP:0011338","Pursed lips"
"HP:0000206","HP:0030809","Glossitis"
"HP:0000207","HP:0011338","Triangular mouth"
"HP:0000211","HP:0000277","Trismus"
"HP:0000212","HP:0000168","Gingival overgrowth"
"HP:0000214","HP:0000159","Lip telangiectasia"
"HP:0000214","HP:0000228","Lip telangiectasia"
"HP:0000215","HP:0011339","Thick upper lip vermilion"
"HP:0000215","HP:0012471","Thick upper lip vermilion"
"HP:0000216","HP:0000187","Broad secondary alveolar ridge"
"HP:0000217","HP:0100755","Xerostomia"
"HP:0000218","HP:0000174","High palate"
"HP:0000219","HP:0000233","Thin upper lip vermilion"
"HP:0000219","HP:0011339","Thin upper lip vermilion"
"HP:0000220","HP:0100736","Velopharyngeal insufficiency"
"HP:0000221","HP:0030809","Furrowed tongue"
"HP:0000222","HP:0000168","Gingival hyperkeratosis"
"HP:0000222","HP:0000962","Gingival hyperkeratosis"
"HP:0000223","HP:0012638","Abnormality of taste sensation"
"HP:0000223","HP:0030810","Abnormality of taste sensation"
"HP:0000224","HP:0000223","Decreased taste sensation"
"HP:0000225","HP:0000168","Gingival bleeding"
"HP:0000225","HP:0001892","Gingival bleeding"
"HP:0000227","HP:0000228","Tongue telangiectasia"
"HP:0000227","HP:0030809","Tongue telangiectasia"
"HP:0000228","HP:0011830","Oral cavity telangiectasia"
"HP:0000228","HP:0100579","Oral cavity telangiectasia"
"HP:0000230","HP:0000168","Gingivitis"
"HP:0000232","HP:0000178","Everted lower lip vermilion"
"HP:0000232","HP:0012472","Everted lower lip vermilion"
"HP:0000233","HP:0000159","Thin vermilion border"
"HP:0000234","HP:0000152","Abnormality of the head"
"HP:0000235","HP:0002683","Abnormality of the fontanelles or cranial sutures"
"HP:0000236","HP:0011328","Abnormality of the anterior fontanelle"
"HP:0000237","HP:0000236","Small anterior fontanelle"
"HP:0000238","HP:0002118","Hydrocephalus"
"HP:0000238","HP:0002921","Hydrocephalus"
"HP:0000239","HP:0011328","Large fontanelles"
"HP:0000240","HP:0000929","Abnormality of skull size"
"HP:0000242","HP:0002696","Parietal bossing"
"HP:0000243","HP:0002648","Trigonocephaly"
"HP:0000244","HP:0000248","Brachyturricephaly"
"HP:0000244","HP:0000262","Brachyturricephaly"
"HP:0000245","HP:0011821","Abnormality of the paranasal sinuses"
"HP:0000246","HP:0000245","Sinusitis"
"HP:0000246","HP:0012649","Sinusitis"
"HP:0000248","HP:0002648","Brachycephaly"
"HP:0000250","HP:0002683","Dense calvaria"
"HP:0000250","HP:0004330","Dense calvaria"
"HP:0000252","HP:0007364","Microcephaly"
"HP:0000252","HP:0040195","Microcephaly"
"HP:0000253","HP:0005484","Progressive microcephaly"
"HP:0000255","HP:0000246","Acute sinusitis"
"HP:0000256","HP:0040194","Macrocephaly"
"HP:0000260","HP:0000236","Wide anterior fontanel"
"HP:0000260","HP:0000239","Wide anterior fontanel"
"HP:0000262","HP:0002648","Turricephaly"
"HP:0000263","HP:0000262","Oxycephaly"
"HP:0000264","HP:0000929","Abnormality of the mastoid"
"HP:0000265","HP:0000264","Mastoiditis"
"HP:0000267","HP:0002648","Cranial asymmetry"
"HP:0000268","HP:0002648","Dolichocephaly"
"HP:0000269","HP:0011217","Prominent occiput"
"HP:0000270","HP:0011329","Delayed cranial suture closure"
"HP:0000271","HP:0000234","Abnormality of the face"
"HP:0000272","HP:0012369","Malar flattening"
"HP:0000273","HP:0005324","Facial grimacing"
"HP:0000274","HP:0001999","Small face"
"HP:0000275","HP:0000274","Narrow face"
"HP:0000276","HP:0100729","Long face"
"HP:0000277","HP:0030791","Abnormality of the mandible"
"HP:0000278","HP:0000277","Retrognathia"
"HP:0000280","HP:0001999","Coarse facial features"
"HP:0000282","HP:0000969","Facial edema"
"HP:0000282","HP:0011799","Facial edema"
"HP:0000283","HP:0100729","Broad face"
"HP:0000286","HP:0000492","Epicanthus"
"HP:0000287","HP:0000291","Increased facial adipose tissue"
"HP:0000288","HP:0000177","Abnormality of the philtrum"
"HP:0000289","HP:0000288","Broad philtrum"
"HP:0000290","HP:0000271","Abnormality of the forehead"
"HP:0000291","HP:0009124","Abnormality of facial adipose tissue"
"HP:0000291","HP:0011799","Abnormality of facial adipose tissue"
"HP:0000292","HP:0000291","Loss of facial adipose tissue"
"HP:0000292","HP:0008887","Loss of facial adipose tissue"
"HP:0000293","HP:0004426","Full cheeks"
"HP:0000294","HP:0000599","Low anterior hairline"
"HP:0000295","HP:0001999","Doll-like facies"
"HP:0000297","HP:0000301","Facial hypotonia"
"HP:0000297","HP:0001252","Facial hypotonia"
"HP:0000298","HP:0004673","Mask-like facies"
"HP:0000300","HP:0001999","Oval face"
"HP:0000301","HP:0011799","Abnormality of facial musculature"
"HP:0000301","HP:0011805","Abnormality of facial musculature"
"HP:0000303","HP:0000277","Mandibular prognathia"
"HP:0000303","HP:0000306","Mandibular prognathia"
"HP:0000306","HP:0000271","Abnormality of the chin"
"HP:0000307","HP:0000306","Pointed chin"
"HP:0000308","HP:0000278","Microretrognathia"
"HP:0000308","HP:0000347","Microretrognathia"
"HP:0000309","HP:0000271","Abnormality of the midface"
"HP:0000311","HP:0001999","Round face"
"HP:0000315","HP:0000271","Abnormality of the orbital region"
"HP:0000316","HP:0100886","Hypertelorism"
"HP:0000317","HP:0000301","Facial myokymia"
"HP:0000317","HP:0002411","Facial myokymia"
"HP:0000319","HP:0000288","Smooth philtrum"
"HP:0000320","HP:0001999","Bird-like facies"
"HP:0000321","HP:0001999","Square face"
"HP:0000322","HP:0000288","Short philtrum"
"HP:0000324","HP:0001999","Facial asymmetry"
"HP:0000325","HP:0001999","Triangular face"
"HP:0000326","HP:0030791","Abnormality of the maxilla"
"HP:0000327","HP:0000326","Hypoplasia of the maxilla"
"HP:0000329","HP:0001028","Facial hemangioma"
"HP:0000329","HP:0011799","Facial hemangioma"
"HP:0000331","HP:0000306","Short chin"
"HP:0000336","HP:0100538","Prominent supraorbital ridges"
"HP:0000337","HP:0000290","Broad forehead"
"HP:0000338","HP:0000301","Hypomimic face"
"HP:0000338","HP:0004673","Hypomimic face"
"HP:0000339","HP:0000280","Pugilistic facies"
"HP:0000340","HP:0000290","Sloping forehead"
"HP:0000341","HP:0000290","Narrow forehead"
"HP:0000343","HP:0000288","Long philtrum"
"HP:0000346","HP:0000205","Whistling appearance"
"HP:0000347","HP:0009118","Micrognathia"
"HP:0000348","HP:0000290","High forehead"
"HP:0000349","HP:0009890","Widow's peak"
"HP:0000350","HP:0000290","Small forehead"
"HP:0000356","HP:0031703","Abnormality of the outer ear"
"HP:0000357","HP:0000356","Abnormal location of ears"
"HP:0000358","HP:0000357","Posteriorly rotated ears"
"HP:0000359","HP:0031703","Abnormality of the inner ear"
"HP:0000360","HP:0000364","Tinnitus"
"HP:0000362","HP:0008628","Otosclerosis"
"HP:0000363","HP:0000377","Abnormality of earlobe"
"HP:0000364","HP:0031704","Hearing abnormality"
"HP:0000365","HP:0000364","Hearing impairment"
"HP:0000366","HP:0000271","Abnormality of the nose"
"HP:0000368","HP:0000358","Low-set, posteriorly rotated ears"
"HP:0000368","HP:0000369","Low-set, posteriorly rotated ears"
"HP:0000369","HP:0000357","Low-set ears"
"HP:0000370","HP:0031703","Abnormality of the middle ear"
"HP:0000371","HP:0000388","Acute otitis media"
"HP:0000372","HP:0000356","Abnormality of the auditory canal"
"HP:0000375","HP:0011390","Abnormal cochlea morphology"
"HP:0000376","HP:0011373","Incomplete partition of the cochlea type II"
"HP:0000377","HP:0000356","Abnormality of the pinna"
"HP:0000378","HP:0000377","Cupped ear"
"HP:0000381","HP:0008628","Stapes ankylosis"
"HP:0000383","HP:0004426","Abnormality of periauricular region"
"HP:0000384","HP:0000383","Preauricular skin tag"
"HP:0000384","HP:0010609","Preauricular skin tag"
"HP:0000385","HP:0009906","Small earlobe"
"HP:0000387","HP:0009906","Absent earlobe"
"HP:0000388","HP:0000370","Otitis media"
"HP:0000388","HP:0012649","Otitis media"
"HP:0000389","HP:0000388","Chronic otitis media"
"HP:0000391","HP:0011039","Thickened helices"
"HP:0000394","HP:0000377","Lop ear"
"HP:0000395","HP:0009738","Prominent antihelix"
"HP:0000396","HP:0008544","Overfolded helix"
"HP:0000399","HP:0011474","Prelingual sensorineural hearing impairment"
"HP:0000400","HP:0000377","Macrotia"
"HP:0000402","HP:0000372","Stenosis of the external auditory canal"
"HP:0000403","HP:0000388","Recurrent otitis media"
"HP:0000403","HP:0002719","Recurrent otitis media"
"HP:0000405","HP:0000365","Conductive hearing impairment"
"HP:0000405","HP:0011452","Conductive hearing impairment"
"HP:0000407","HP:0000365","Sensorineural hearing impairment"
"HP:0000407","HP:0011389","Sensorineural hearing impairment"
"HP:0000408","HP:0000407","Progressive sensorineural hearing impairment"
"HP:0000408","HP:0001730","Progressive sensorineural hearing impairment"
"HP:0000410","HP:0000405","Mixed hearing impairment"
"HP:0000410","HP:0000407","Mixed hearing impairment"
"HP:0000411","HP:0000377","Protruding ear"
"HP:0000413","HP:0000372","Atresia of the external auditory canal"
"HP:0000414","HP:0000436","Bulbous nose"
"HP:0000414","HP:0005105","Bulbous nose"
"HP:0000415","HP:0000366","Abnormality of the choanae"
"HP:0000417","HP:0005105","Slender nose"
"HP:0000418","HP:0011119","Narrow nasal ridge"
"HP:0000419","HP:0000366","Abnormality of the nasal septum"
"HP:0000420","HP:0000419","Short nasal septum"
"HP:0000421","HP:0000366","Epistaxis"
"HP:0000421","HP:0001892","Epistaxis"
"HP:0000422","HP:0000366","Abnormality of the nasal bridge"
"HP:0000426","HP:0000422","Prominent nasal bridge"
"HP:0000429","HP:0010938","Abnormality of the nasal alae"
"HP:0000430","HP:0000429","Underdeveloped nasal alae"
"HP:0000430","HP:0009924","Underdeveloped nasal alae"
"HP:0000431","HP:0000422","Wide nasal bridge"
"HP:0000433","HP:0000366","Abnormality of the nasal mucosa"
"HP:0000434","HP:0000433","Nasal mucosa telangiectasia"
"HP:0000434","HP:0100579","Nasal mucosa telangiectasia"
"HP:0000436","HP:0010938","Abnormality of the nasal tip"
"HP:0000437","HP:0000436","Depressed nasal tip"
"HP:0000444","HP:0011119","Convex nasal ridge"
"HP:0000445","HP:0005105","Wide nose"
"HP:0000446","HP:0000422","Narrow nasal bridge"
"HP:0000447","HP:0005105","Pear-shaped nose"
"HP:0000448","HP:0005105","Prominent nose"
"HP:0000451","HP:0000436","Triangular nasal tip"
"HP:0000452","HP:0000415","Choanal stenosis"
"HP:0000453","HP:0000415","Choanal atresia"
"HP:0000454","HP:0000429","Flared nostrils"
"HP:0000455","HP:0000436","Broad nasal tip"
"HP:0000455","HP:0000463","Broad nasal tip"
"HP:0000456","HP:0000436","Bifid nasal tip"
"HP:0000457","HP:0011119","Depressed nasal ridge"
"HP:0000458","HP:0004408","Anosmia"
"HP:0000460","HP:0005105","Narrow nose"
"HP:0000463","HP:0000429","Anteverted nares"
"HP:0000463","HP:0005105","Anteverted nares"
"HP:0000463","HP:0005288","Anteverted nares"
"HP:0000464","HP:0000152","Abnormality of the neck"
"HP:0000465","HP:0000464","Webbed neck"
"HP:0000466","HP:0005986","Limited neck range of motion"
"HP:0000467","HP:0001324","Neck muscle weakness"
"HP:0000468","HP:0000464","Increased adipose tissue around the neck"
"HP:0000468","HP:0009126","Increased adipose tissue around the neck"
"HP:0000470","HP:0000464","Short neck"
"HP:0000470","HP:0003319","Short neck"
"HP:0000471","HP:0004296","Gastrointestinal angiodysplasia"
"HP:0000472","HP:0000464","Long neck"
"HP:0000473","HP:0011006","Torticollis"
"HP:0000473","HP:0011442","Torticollis"
"HP:0000473","HP:0012179","Torticollis"
"HP:0000474","HP:0000464","Thickened nuchal skin fold"
"HP:0000474","HP:0011425","Thickened nuchal skin fold"
"HP:0000475","HP:0000464","Broad neck"
"HP:0000476","HP:0000464","Cystic hygroma"
"HP:0000478","HP:0000118","Abnormality of the eye"
"HP:0000479","HP:0001098","Abnormal retinal morphology"
"HP:0000480","HP:0000479","Retinal coloboma"
"HP:0000480","HP:0000589","Retinal coloboma"
"HP:0000481","HP:0004328","Abnormal cornea morphology"
"HP:0000482","HP:0001120","Microcornea"
"HP:0000483","HP:0000539","Astigmatism"
"HP:0000483","HP:0100691","Astigmatism"
"HP:0000484","HP:0000483","Hyperopic astigmatism"
"HP:0000485","HP:0001120","Megalocornea"
"HP:0000486","HP:0000549","Strabismus"
"HP:0000488","HP:0000479","Retinopathy"
"HP:0000490","HP:0100886","Deeply set eye"
"HP:0000491","HP:0011495","Keratitis"
"HP:0000491","HP:0100533","Keratitis"
"HP:0000492","HP:0030669","Abnormal eyelid morphology"
"HP:0000493","HP:0001103","Abnormal foveal morphology"
"HP:0000494","HP:0200006","Downslanted palpebral fissures"
"HP:0000495","HP:0200020","Recurrent corneal erosions"
"HP:0000496","HP:0012373","Abnormality of eye movement"
"HP:0000497","HP:0011347","Globe retraction and deviation on abduction"
"HP:0000498","HP:0000492","Blepharitis"
"HP:0000498","HP:0100533","Blepharitis"
"HP:0000499","HP:0000492","Abnormal eyelash morphology"
"HP:0000499","HP:0001595","Abnormal eyelash morphology"
"HP:0000501","HP:0012373","Glaucoma"
"HP:0000502","HP:0030669","Abnormal conjunctiva morphology"
"HP:0000503","HP:0008054","Tortuosity of conjunctival vessels"
"HP:0000504","HP:0012373","Abnormality of vision"
"HP:0000505","HP:0000504","Visual impairment"
"HP:0000506","HP:0000492","Telecanthus"
"HP:0000508","HP:0012373","Ptosis"
"HP:0000509","HP:0000502","Conjunctivitis"
"HP:0000509","HP:0025337","Conjunctivitis"
"HP:0000509","HP:0100533","Conjunctivitis"
"HP:0000510","HP:0000556","Rod-cone dystrophy"
"HP:0000511","HP:0000605","Vertical supranuclear gaze palsy"
"HP:0000512","HP:0030453","Abnormal electroretinogram"
"HP:0000514","HP:0000570","Slow saccadic eye movements"
"HP:0000517","HP:0004328","Abnormality of the lens"
"HP:0000518","HP:0000517","Cataract"
"HP:0000519","HP:0000518","Developmental cataract"
"HP:0000519","HP:0007700","Developmental cataract"
"HP:0000520","HP:0100886","Proptosis"
"HP:0000522","HP:0000633","Alacrima"
"HP:0000523","HP:0000518","Subcapsular cataract"
"HP:0000524","HP:0008054","Conjunctival telangiectasia"
"HP:0000524","HP:0100579","Conjunctival telangiectasia"
"HP:0000525","HP:0000553","Abnormality iris morphology"
"HP:0000525","HP:0004328","Abnormality iris morphology"
"HP:0000526","HP:0008053","Aniridia"
"HP:0000527","HP:0000499","Long eyelashes"
"HP:0000528","HP:0008056","Anophthalmia"
"HP:0000528","HP:0100887","Anophthalmia"
"HP:0000529","HP:0000572","Progressive visual loss"
"HP:0000531","HP:0007759","Corneal crystals"
"HP:0000532","HP:0000479","Abnormal chorioretinal morphology"
"HP:0000532","HP:0000610","Abnormal chorioretinal morphology"
"HP:0000533","HP:0200065","Chorioretinal atrophy"
"HP:0000534","HP:0001595","Abnormal eyebrow morphology"
"HP:0000534","HP:0030669","Abnormal eyebrow morphology"
"HP:0000535","HP:0045074","Sparse and thin eyebrow"
"HP:0000535","HP:0045075","Sparse and thin eyebrow"
"HP:0000537","HP:0000286","Epicanthus inversus"
"HP:0000538","HP:0012795","Pseudopapilledema"
"HP:0000539","HP:0012373","Abnormality of refraction"
"HP:0000540","HP:0000539","Hypermetropia"
"HP:0000541","HP:0000479","Retinal detachment"
"HP:0000542","HP:0000496","Impaired ocular adduction"
"HP:0000543","HP:0012795","Optic disc pallor"
"HP:0000544","HP:0000602","External ophthalmoplegia"
"HP:0000545","HP:0000539","Myopia"
"HP:0000546","HP:0000479","Retinal degeneration"
"HP:0000548","HP:0000556","Cone/cone-rod dystrophy"
"HP:0000549","HP:0000496","Abnormal conjugate eye movement"
"HP:0000550","HP:0000512","Undetectable electroretinogram"
"HP:0000551","HP:0000504","Color vision defect"
"HP:0000552","HP:0011519","Tritanomaly"
"HP:0000553","HP:0012372","Abnormal uvea morphology"
"HP:0000554","HP:0000553","Uveitis"
"HP:0000554","HP:0100533","Uveitis"
"HP:0000555","HP:0000615","Leukocoria"
"HP:0000556","HP:0000479","Retinal dystrophy"
"HP:0000557","HP:0001087","Buphthalmos"
"HP:0000557","HP:0001090","Buphthalmos"
"HP:0000558","HP:0007676","Rieger anomaly"
"HP:0000559","HP:0007957","Corneal scarring"
"HP:0000559","HP:0100699","Corneal scarring"
"HP:0000561","HP:0002550","Absent eyelashes"
"HP:0000561","HP:0200102","Absent eyelashes"
"HP:0000563","HP:0100689","Keratoconus"
